patch,champion_name,team_position,games_played,win_rate,avg_kda,avg_cs_min,avg_damage,avg_kills,avg_deaths,avg_assists,pick_rate
16.12,Akshan,MIDDLE,30,43.3,2.63,6.6,25495.0,9.0,6.4,5.1,4.2
16.12,Xerath,MIDDLE,29,34.5,3.59,7.8,25011.0,5.2,4.7,7.1,4.0
16.12,Yone,TOP,29,51.7,1.65,8.0,18793.0,3.6,6.1,3.7,4.0
16.12,DrMundo,TOP,29,62.1,4.06,7.8,24543.0,4.4,4.0,5.4,4.0
16.12,Orianna,MIDDLE,29,62.1,3.81,8.0,24379.0,5.9,5.6,9.2,4.0
16.12,Darius,TOP,29,55.2,2.61,7.6,22369.0,8.2,6.1,5.0,4.0
16.12,Braum,UTILITY,28,75.0,5.5,0.9,7766.0,1.3,5.6,17.1,3.9
16.12,TwistedFate,UTILITY,28,60.7,2.57,1.2,10034.0,2.1,8.2,16.0,3.9
16.12,Zaahen,TOP,28,46.4,2.68,6.9,24153.0,5.7,6.7,6.1,3.9
16.12,Irelia,MIDDLE,27,29.6,2.3,8.4,22040.0,7.1,7.1,3.7,3.8
16.12,Riven,MIDDLE,27,44.4,2.12,7.8,21245.0,7.3,6.6,4.9,3.8
16.12,Vayne,JUNGLE,27,66.7,4.05,7.5,18152.0,7.0,5.3,7.3,3.8
16.12,Zilean,UTILITY,27,66.7,5.72,1.3,7718.0,1.7,4.9,17.4,3.8
16.12,Zed,JUNGLE,26,65.4,4.81,7.2,22672.0,8.3,4.9,6.1,3.6
16.12,Mel,MIDDLE,26,34.6,4.82,7.9,25336.0,9.2,5.6,4.7,3.6
16.12,Kalista,BOTTOM,26,50.0,1.98,8.1,23480.0,7.9,8.6,7.0,3.6
16.12,Brand,BOTTOM,26,46.2,2.74,7.0,25630.0,6.0,6.6,8.8,3.6
16.12,Zeri,BOTTOM,26,50.0,5.54,8.6,22530.0,8.4,5.4,5.2,3.6
16.12,XinZhao,JUNGLE,26,19.2,2.92,6.3,18221.0,5.0,6.5,7.6,3.6
16.12,Kennen,TOP,25,44.0,2.25,7.2,20688.0,5.2,5.8,5.5,3.5
16.12,Galio,MIDDLE,25,52.0,4.14,6.8,23479.0,6.1,5.6,10.7,3.5
